"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.6%,,62174,"All Students","Economically Disadvantaged",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66.2%,,8363,"All Students","English Learner",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",48%,,403,"All Students","Foster care students",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",62.7%,,4736,"All Students",Homeless,,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.8%,,22173,"All Students",Hispanic/Latino,,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.0%,,12927,"All Students","All Students in SEA",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.9%,,9872,"All Students","Asian/Pacific Islander",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,2063,"All Students",Asian,,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.4%,,4444,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,325,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,2197,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66%,,1519,"All Students","Children with disabilities",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.1%,,7708,"All Students","Economically Disadvantaged",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,989,"All Students","English Learner",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,340,"All Students","Foster care students",,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,445,"All Students",Homeless,,,,,
2021-2022,HAWAII,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83%,,320,"All Students",Hispanic/Latino,,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.9%,,24616,"All Students","All Students in SEA",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,281,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,396,"All Students","Asian/Pacific Islander",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,308,"All Students",Asian,,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,88,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,304,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,733,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.9%,,18385,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",57%,,2684,"All Students","Children with disabilities",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.6%,,10671,"All Students","Economically Disadvantaged",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,1106,"All Students","English Learner",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",41%,,150,"All Students","Foster care students",,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",52%,,1244,"All Students",Homeless,,,,,
2021-2022,IDAHO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.1%,,4517,"All Students",Hispanic/Latino,,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.3%,,151984,"All Students","All Students in SEA",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,337,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95.5%,,8247,"All Students","Asian/Pacific Islander",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95.7%,,8100,"All Students",Asian,,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,147,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.5%,,24022,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.6%,,5044,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.5%,,73296,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.9%,,22235,"All Students","Children with disabilities",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.0%,,64467,"All Students","Economically Disadvantaged",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.8%,,10696,"All Students","English Learner",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",51%,,937,"All Students","Foster care students",,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.2%,,7243,"All Students",Homeless,,,,,
2021-2022,ILLINOIS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.1%,,41038,"All Students",Hispanic/Latino,,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.7%,,78411,"All Students","All Students in SEA",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,147,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,2179,"All Students","Asian/Pacific Islander",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,2116,"All Students",Asian,,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,63,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.1%,,9175,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.9%,,3463,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.4%,,53386,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.2%,,10015,"All Students","Children with disabilities",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.2%,,27410,"All Students","Economically Disadvantaged",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,2874,"All Students","English Learner",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",59%,,490,"All Students","Foster care students",,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,945,"All Students",Homeless,,,,,
2021-2022,INDIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.7%,,10061,"All Students",Hispanic/Latino,,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.9%,,36203,"All Students","All Students in SEA",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81%,,122,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,1037,"All Students","Asian/Pacific Islander",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,924,"All Students",Asian,,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,113,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,2154,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83%,,1389,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.7%,,27408,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.8%,,4598,"All Students","Children with disabilities",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.3%,,17046,"All Students","Economically Disadvantaged",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,2163,"All Students","English Learner",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,393,"All Students","Foster care students",,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71%,,950,"All Students",Homeless,,,,,
2021-2022,IOWA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.2%,,4093,"All Students",Hispanic/Latino,,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.1%,,36400,"All Students","All Students in SEA",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,347,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,1105,"All Students","Asian/Pacific Islander",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,1031,"All Students",Asian,,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,74,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,2355,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,1903,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.0%,,23317,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.2%,,5464,"All Students","Children with disabilities",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.2%,,17329,"All Students","Economically Disadvantaged",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.4%,,4466,"All Students","English Learner",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60%,,360,"All Students","Foster care students",,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,1126,"All Students",Homeless,,,,,
2021-2022,KANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.2%,,7373,"All Students",Hispanic/Latino,,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.1%,,48906,"All Students","All Students in SEA",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,66,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,1083,"All Students","Asian/Pacific Islander",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,1011,"All Students",Asian,,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,72,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.9%,,5429,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,1631,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.4%,,37066,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.7%,,4790,"All Students","Children with disabilities",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.4%,,25102,"All Students","Economically Disadvantaged",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,1740,"All Students","English Learner",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70%,,522,"All Students","Foster care students",,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,1324,"All Students",Homeless,,,,,
2021-2022,KENTUCKY,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.3%,,3631,"All Students",Hispanic/Latino,,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.1%,,48889,"All Students","All Students in SEA",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83%,,342,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,979,"All Students","Asian/Pacific Islander",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92%,,938,"All Students",Asian,,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,41,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.3%,,20643,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,1027,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.0%,,21935,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",57%,,2255,"All Students","Children with disabilities",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.5%,,32025,"All Students","Economically Disadvantaged",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",46%,,1759,"All Students","English Learner",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,54,"All Students","Foster care students",,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70%,,1241,"All Students",Homeless,,,,,
2021-2022,LOUISIANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.2%,,3963,"All Students",Hispanic/Latino,,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.1%,,13886,"All Students","All Students in SEA",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71%,,106,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92%,,254,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,238,"All Students",Asian,,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71%,,16,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,570,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,358,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.9%,,12243,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,2714,"All Students","Children with disabilities",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.6%,,6373,"All Students","Economically Disadvantaged",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,422,"All Students","English Learner",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",59%,,82,"All Students","Foster care students",,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",56%,,481,"All Students",Homeless,,,,,
2021-2022,MAINE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,355,"All Students",Hispanic/Latino,,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.3%,,67045,"All Students","All Students in SEA",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,140,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.4%,,4693,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.5%,,4615,"All Students",Asian,,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,78,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.0%,,22361,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,2776,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.5%,,24252,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.3%,,6672,"All Students","Children with disabilities",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.9%,,24945,"All Students","Economically Disadvantaged",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",56.6%,,4697,"All Students","English Learner",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",42%,,186,"All Students","Foster care students",,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",62%,,1123,"All Students",Homeless,,,,,
2021-2022,MARYLAND,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.3%,,12823,"All Students",Hispanic/Latino,,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.1%,,73901,"All Students","All Students in SEA",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,202,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.0%,,5063,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.2%,,4988,"All Students",Asian,,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81%,,75,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.2%,,6855,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,2495,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.2%,,43740,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.0%,,14334,"All Students","Children with disabilities",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.2%,,36289,"All Students","Economically Disadvantaged",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.1%,,7109,"All Students","English Learner",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",62%,,911,"All Students","Foster care students",,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,2467,"All Students",Homeless,,,,,
2021-2022,MASSACHUSETTS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.2%,,15546,"All Students",Hispanic/Latino,,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.0%,,117849,"All Students","All Students in SEA",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71%,,752,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.9%,,4333,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.3%,,4213,"All Students",Asian,,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,120,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70.1%,,19621,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74.6%,,4432,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.4%,,79060,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",58.1%,,13868,"All Students","Children with disabilities",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.6%,,54511,"All Students","Economically Disadvantaged",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.5%,,6125,"All Students","English Learner",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",41%,,351,"All Students","Foster care students",,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",56%,,2811,"All Students",Homeless,,,,,
2021-2022,MICHIGAN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74.3%,,9651,"All Students",Hispanic/Latino,,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.6%,,70119,"All Students","All Students in SEA",,,,,
